expense_id,transaction_id,user_id,vendor_id,amount,currency,category,subcategory,description,business_purpose,expense_date,status,billable,project_id,tax_amount,tax_rate,created_at,submitted_at,approved_at
2c0bdfc2-9788-4593-9422-cef595e632f0,a6e17cdb-f867-41ad-9099-992382c58ff0,efe65b8b-f1d8-4d13-bd68-91e49f030141,85e67b72-a51c-48e6-b489-236b91614461,7843.36,CAD,software,suicide,captain,hill,2007-01-23,draft,True,1ddb1630-92ff-4062-83f0-95d543edcb6a,435.35,0.1968,2025-03-05 12:38:19.123590,2025-04-22 10:16:52.207852,2025-09-16 00:41:41.363524
3e30167a-3551-4d5e-bfdb-570be2439690,cf651110-7887-499e-9338-5586cb2e4341,3a4f0f42-7502-4843-91e9-7d1604c5b663,7021c4d6-fa7d-462c-877e-032ec8efa7cd,5445.72,CAD,travel,sponsors,array,pa,2024-01-20,submitted,False,6b3e1451-c54d-49e6-8165-e7bb99c7bdd3,236.15,0.1657,2025-03-03 13:55:08.758494,2025-10-28 07:11:55.189600,2025-01-23 16:53:18.665595
b0be9513-c4a4-4e79-b624-f0312f04ff9e,b8567ece-034c-4a28-b0eb-ed9398f44769,d505d111-9f9a-4ec3-9c46-cb885803f626,23f301b1-592c-401d-9168-bb03fe9d4a29,779.87,CAD,other,associatio,binding,marketing,2000-11-16,submitted,True,fb0e7983-a284-4fe4-ab12-18e75cc04664,930.86,0.1435,2025-10-07 16:15:16.931264,2025-07-05 07:54:48.152576,2025-11-25 04:32:31.289714
df48d74c-8433-46a9-a501-306154c4f940,e450e827-c486-4f07-9e69-137b5da1e800,9cd504ff-cda9-40d3-9f59-e490b45ed9a3,922580b4-0f8f-4cec-9636-db9eb206c70a,4866.82,USD,office_supplies,winning,constant,observed,2009-01-05,draft,True,acf93dcf-da15-4499-97ff-b84b6d286a4d,592.16,0.1157,2025-04-07 04:09:30.443526,2025-04-19 05:50:07.590035,2025-07-26 10:32:48.039660
4fdfab4f-d335-4a2a-898e-c3da0f93a1d2,62743514-eda2-4879-a6fc-5267c5ae0e10,70621c7a-cf1c-4a06-a756-2bf5e6abbe58,2787912a-825f-49a5-83e8-ae6f8bb3ac51,5551.32,USD,training,adventure,sound,sri,2012-05-31,submitted,True,76878f46-50a1-4890-814a-cad8d765f7d4,822.02,0.044,2025-11-17 11:50:21.776252,2025-03-20 18:32:27.423128,2025-02-17 21:01:20.533193
82f9c3fc-8d24-493f-a3a3-3f21ed62db3b,ac43caee-26ae-44fc-a3a9-2a59a11fe4ff,3966703c-7e75-4173-877c-c2a151b08016,14fe081d-9bdc-4028-99eb-6e36b9b5235d,9558.88,CAD,consulting,evening,promotions,thru,2007-01-20,submitted,False,beaeb615-b67f-4ecf-90d9-eae48bb38704,69.61,0.0272,2025-07-19 00:50:42.310580,2025-04-27 10:01:31.496798,2025-12-04 17:52:34.354278
a3c34bc9-f90f-415b-bf98-eabe5e91e122,e8537836-6aaa-480e-b1f5-cec614c1b761,fcc0f709-16ea-4937-b179-b6ca8041b52e,34c2f941-1cf6-4cdd-9eb5-51ee83985d65,8140.85,USD,training,multimedia,usd,liked,2019-04-28,submitted,True,fc52485e-e4ed-44ac-854c-210290770cb8,771.34,0.0947,2025-08-12 07:13:22.623965,2025-11-02 18:51:20.959834,2025-04-30 05:41:17.712370
26f8ffef-61b3-40ef-9ba1-86262c998b33,062a6500-7c80-4b92-9b94-234632e44e3f,d5e242d9-7bd6-4531-a189-44bf67f00c8b,072653db-9cff-427b-be1d-75e3e897c385,4943.46,CAD,travel,unsubscrib,gun,soup,2020-12-08,draft,True,5605e08c-2fcd-4d5e-9fc4-50ba4616116e,660.16,0.0226,2025-12-11 00:25:36.787300,2025-05-08 06:46:33.649255,2025-03-11 08:31:47.093768
f7c60327-3a22-49da-966a-84f992557823,8a03d08f-98ec-49f0-bfef-80132c8ba5a4,602c523f-bf8a-41df-bfa7-f1e2150a2cc3,0a85d2b6-9d9e-448c-8660-9f1aaef09e48,8170.52,GBP,other,pilot,attached,situations,2021-03-16,rejected,False,2829c302-ff4e-4da0-b7c2-76e994551222,887.26,0.2258,2025-07-13 08:48:19.578704,2025-11-14 15:50:35.723173,2025-09-20 05:25:47.992757
e7fc8fa6-5ee2-4560-8279-64e7e4dc2f20,e2d62ff7-b36a-4ab9-85d9-d27613abfde6,c2096162-0934-42e4-a19c-2bc4fb8d3271,c267c60b-3505-4ab1-8b2d-564ed7060684,6361.69,GBP,travel,latin,rapidly,battle,2016-06-23,draft,True,782ace48-ba9e-4ed0-a9a1-c9c25ae31179,0.18,0.0367,2025-02-05 15:49:56.055359,2025-02-17 22:13:26.058705,2025-04-26 23:31:00.824557
596a88b4-8b1b-4020-9cc4-e3190cc74c65,cb667181-27e9-42c1-b738-45425b635591,32794ee1-c8cb-4528-880b-3357c13473c5,922580b4-0f8f-4cec-9636-db9eb206c70a,1493.02,USD,other,improvemen,dragon,contests,2022-11-30,submitted,True,254025ac-6c12-4fbd-8af8-3ea464af0282,531.26,0.0975,2025-06-10 11:26:45.353160,2025-06-09 20:05:53.291808,2025-04-23 17:26:04.320800
20a61035-ff41-4e9c-b50c-c2b63ee7dd10,1f969610-2974-4b2c-8d42-94338516bc77,1cf775af-40d9-42c2-b423-0ca1284d9c4f,1d312b2c-1271-4518-b78a-e7ac7912e923,5779.74,EUR,training,leadership,colombia,relatively,2010-01-20,reimbursed,False,8e3935b7-e49e-47b5-a372-5853150ab9b0,195.67,0.1704,2025-02-08 20:41:35.178393,2025-06-25 16:04:17.745626,2025-02-21 00:06:42.127268
974259db-2377-4ba6-bf67-d5ef83e40a5d,096b3177-4719-46bf-9ae0-66d4ecdae3d3,0fcacad8-4968-496e-a0c2-73324d0d19db,2e1d5146-fa7f-419b-8380-d01fc1639b79,3166.66,USD,travel,source,acceptable,dot,2018-01-12,rejected,True,9af70ae2-e405-44db-8926-5b9091e2288a,570.28,0.2283,2025-11-10 23:19:46.178958,2025-07-10 10:32:44.754088,2025-11-24 16:06:02.663649
aa597711-af5b-4f6a-8440-363fb205eff0,2ab9ff7e-fd12-4bbe-a2c2-ce8b29b7d901,acbafbe8-0d25-47b2-b576-274a2686b495,c0d30025-6dea-4caa-8df6-85f5b2479fd7,3046.2,EUR,other,finds,feb,minimum,2023-07-23,draft,False,ca9bee53-20aa-4ddc-9c64-ed768c8993be,943.33,0.1087,2025-06-12 03:37:31.820036,2025-07-07 09:45:17.374595,2025-07-12 17:10:18.518095
