invoice_id,vendor_id,invoice_number,amount,currency,tax_amount,total_amount,invoice_date,due_date,status,description,payment_method,paid_date,created_at,approved_at
831216cb-071d-4daf-ae5e-c123eb102961,c54949f7-efd4-4673-843b-d1f7501a71ea,identify,6932.28,USD,1291.41,20939.01,2004-07-21,2023-02-13,approved,pr,card,2020-02-26,2025-02-08 14:25:38.761389,2025-04-20 00:12:45.969012
aaa2c36b-1483-4541-8965-e03651765b54,86b9a7e9-3a19-4404-bc1a-d2dbf646f8d7,describes,7736.53,EUR,1699.71,22720.44,2008-10-31,2021-01-27,draft,staff,wire,2010-05-04,2025-09-22 18:11:33.197169,2025-07-08 04:34:01.785039
abe808b8-3a9d-48c1-b269-6b9dbc1ac7f0,7356f649-1ede-44b8-adf7-489a5ca2ef5f,top,3812.42,EUR,2654.81,4223.63,2016-06-18,2010-06-12,cancelled,forms,check,2025-12-04,2025-02-16 15:56:40.197065,2025-06-03 14:27:24.257318
59ee8418-d485-459b-bacb-349c93eb75d8,6a6c32b1-d751-41a9-909e-d847be73bee0,remain,15488.42,EUR,1499.1,1348.0,2020-03-19,2008-12-15,overdue,surveys,card,2023-08-06,2025-10-11 11:42:49.198410,2025-09-10 11:30:09.789138
2dd17624-a62b-4309-871d-ddfad25bea3a,878dbed0-c0d3-4921-a985-f4908b6c98a0,cemetery,49064.57,EUR,1638.77,39177.84,2019-04-26,2018-07-18,pending_approval,exciting,ach,2021-01-18,2025-06-09 18:02:59.569822,2025-10-20 21:58:15.898575
f9fe5a24-06ec-4ebd-bce2-5c166aa395c0,01fcadf9-c807-4643-9c4b-a39e24972db2,recent,43488.29,USD,4657.05,33199.56,2022-11-07,2013-09-11,paid,southwest,wire,2010-07-26,2025-05-26 05:02:51.338985,2025-04-10 01:35:50.790080
12ecbb9c-ce36-4736-a9f6-4ce1aaed8768,9a7334e7-17b3-45b6-94c1-dc037c60aaa4,terrorism,42593.34,USD,1812.66,5324.13,2025-07-28,2016-04-19,pending_approval,singles,card,2007-11-18,2025-10-24 17:45:53.216269,2025-01-22 11:42:52.844139
bfb06b1c-0079-446f-904f-b2784888a338,1bd5e1ce-c918-4737-b039-96ea5cd4965b,globe,13283.57,EUR,1668.93,48873.62,2010-06-01,2020-01-07,cancelled,accessory,card,2021-04-07,2025-11-05 15:14:45.633527,2025-10-14 17:22:20.743186
e6d75564-a20e-41c6-ac4c-40a22692abc7,b190b03f-c1b4-4cf9-9008-3a4345d0fcdf,triple,9212.69,GBP,1061.55,44040.4,2014-02-05,2022-07-24,approved,crew,check,2008-04-02,2025-12-28 11:01:15.672327,2025-05-08 03:19:13.951752
975a2418-1514-4f54-9f32-3a9719f96b2e,01b3ed1e-bae2-4125-9f7e-6a93e1fdfb43,formation,11652.82,EUR,1382.57,46296.55,2019-12-12,2013-02-20,pending_approval,why,ach,2011-10-26,2025-04-28 08:20:09.445173,2025-03-27 20:54:42.111391
6f091f4a-d8e0-487d-9b37-79ae15ee4d7c,1bd5e1ce-c918-4737-b039-96ea5cd4965b,vice,27555.4,CAD,2706.53,47272.97,2001-07-24,2006-02-16,pending_approval,passage,ach,2002-05-22,2025-05-17 15:27:55.156523,2025-05-21 09:48:43.803168
b7b26e2a-9ff5-48a7-97ef-e1b40795dae9,1bd5e1ce-c918-4737-b039-96ea5cd4965b,rfc,40597.7,USD,2744.68,31797.17,2014-07-26,2016-11-15,overdue,temporary,card,2024-05-15,2025-07-16 04:47:26.622108,2025-09-27 18:02:03.862183
f93ac952-9e28-460c-9a6a-6a84846f7fb7,32b94782-9ae4-41b6-a446-0ea7bf6180dc,christ,34555.06,USD,1486.03,30424.93,2008-04-08,2025-11-16,overdue,ssl,check,2008-10-24,2025-04-16 17:06:19.060286,2025-12-31 23:59:35.700215
ef6f1aaf-fd30-4ead-9163-aaebaa1a4701,495589ec-fea5-465c-9421-d978e0e07070,processes,14947.55,EUR,4476.63,41401.38,2001-04-03,2022-10-21,overdue,presidenti,card,2022-08-15,2025-05-10 13:16:49.728107,2025-10-29 02:14:28.153054
c992161d-0850-4420-9d2f-fa76e1dc978e,748401e5-69f4-4788-9140-40041afbb0c3,oil,2132.8,GBP,4594.19,23167.4,2015-06-24,2012-05-28,cancelled,sub,ach,2023-07-31,2025-05-31 20:42:02.289283,2025-11-14 00:55:47.927174
d8cad19f-cc22-4bbc-8784-b67d6010eeb7,84520fd1-29f5-4973-ad20-b4e31e3bc1de,monitoring,32929.09,CAD,1345.24,2957.74,2009-06-12,2003-05-17,cancelled,edition,wire,2003-06-10,2025-02-02 06:47:50.833295,2025-10-28 14:30:44.414122
4cd01d14-9d1a-431d-9a9a-47b631447c69,75eab9d1-0c5a-4c9a-a182-c5a765bfffb7,stem,3530.5,CAD,4744.92,32397.9,2017-03-13,2017-10-24,overdue,lawyer,card,2022-06-21,2025-04-06 23:40:39.921043,2025-09-13 02:14:31.942469
721478d5-3a09-4ec6-bb6b-4b22de09a29d,b8ac46c3-277f-4e9f-ba05-500c001751d2,cruises,5430.75,EUR,2384.89,25860.35,2002-04-10,2007-07-07,cancelled,actually,card,2016-06-27,2025-05-20 06:54:48.845307,2025-07-28 06:56:56.519571
90e8a9eb-c055-451d-936c-c70851192768,c54949f7-efd4-4673-843b-d1f7501a71ea,tones,18120.3,GBP,2709.82,14609.1,2001-08-24,2009-10-11,draft,recordings,wire,2017-04-23,2025-11-18 21:05:06.340154,2025-03-10 01:27:49.621554
a3cd42e4-4c16-4d06-8ca5-df045d00ef5f,2e99e4b6-898f-4c94-bdbe-7910b23ad39e,nice,29583.61,GBP,2805.95,43696.48,2018-04-28,2020-02-25,approved,sf,check,2002-08-14,2025-06-26 08:50:20.028783,2025-03-05 17:33:58.529155
97b2386c-8659-4235-bcda-36b1ae258014,eb5882c1-7064-4c02-bbde-071c26c48177,shoe,4192.24,USD,841.9,35701.87,2020-02-27,2011-08-09,cancelled,even,ach,2008-05-08,2025-04-29 16:03:03.347449,2025-04-10 08:54:33.787326
348f7592-27b0-4ef1-9607-5748655ea437,21a0a6d9-629b-4d5b-b5e4-77ac6cb43638,data,28493.86,USD,4333.46,34733.05,2006-09-10,2004-11-27,approved,channel,ach,2008-08-28,2025-05-05 14:00:54.090028,2025-08-03 06:22:54.622607
5721c6db-8c65-4907-bab3-3725d82f6882,bae9e8d6-d8fc-4a82-b910-ca2f41527259,frames,940.59,USD,1092.09,38978.07,2008-09-22,2013-12-17,overdue,authors,ach,2013-02-09,2025-10-13 09:36:39.379029,2025-06-09 06:44:48.883309
322b46b4-b862-4eef-a917-01f585ca54f0,01931e8c-4b02-4c7b-a1bf-a72c868e8690,jeff,8551.54,GBP,4786.46,47524.01,2008-10-10,2024-02-02,cancelled,forms,check,2020-11-07,2025-06-18 13:08:21.845366,2025-03-19 05:26:11.420666
c4b6df29-bbc3-4400-92ee-8579cc5da038,3bcb4985-f0b5-4405-b8be-ab667c32eedd,serving,25533.25,EUR,4948.23,390.23,2023-02-25,2012-05-20,pending_approval,may,card,2025-08-17,2025-10-14 23:41:12.735762,2025-07-15 13:27:08.501342
e94824a5-bce9-43cd-8786-f04c49bf23cc,c2e7c988-253a-43a8-a09d-829c61cfeb84,glasses,26196.46,EUR,1366.57,43726.89,2001-03-28,2005-07-23,pending_approval,effective,ach,2001-07-16,2025-09-08 06:34:04.859915,2025-06-28 03:50:09.935401
e445efdd-a89e-4d5f-9b89-f4802317a87a,e1387f27-83b0-42df-9fe9-1ebd90950698,provided,38835.49,USD,937.75,30161.25,2007-05-09,2004-07-08,pending_approval,der,card,2001-01-18,2025-09-29 05:38:55.347729,2025-11-29 06:00:47.492973
6f243064-628a-4fd2-bf7b-0e5a24210feb,bc1a6020-f1a0-48f3-b4ae-a55301d134f9,pick,3062.65,USD,1055.04,36711.84,2010-01-21,2009-01-23,paid,ultra,wire,2014-04-22,2025-02-27 17:24:13.129448,2025-08-04 11:34:55.898956
be4d2079-d4d0-4629-ae73-1b1d952352e0,00f9abac-cdb4-4486-ab6c-6de8f6e1d004,strong,9704.34,EUR,2638.91,19000.31,2019-03-23,2025-07-14,pending_approval,deals,check,2001-11-19,2025-12-02 00:11:15.523424,2025-11-18 10:29:34.697677
