vendor_id,name,email,phone,street_address,city,state,postal_code,country,tax_id,payment_terms,status,category,created_at
263e5c59-1a5c-4f33-8795-5002c67fddd3,washington,any1925@gmail.com,+1-713-768-0402,Collingwood,Ansonia,West Virginia,22768,BH,trembl,net_15,inactive,office_supplies,2025-11-07 18:26:39.670030
dd127418-3af5-4950-b6ab-415fa4ee4705,st,appeared1901@example.org,+1-445-428-7142,Pulaski,Arvada,Alaska,02657,PR,closely,net_60,pending_approval,office_supplies,2025-08-29 20:34:18.673088
ec1fbd2e-3a3c-4f7b-b826-ce203a8bf835,kansas,motors1847@yahoo.com,+1-679-332-0419,Waller,Lockport,Iowa,42871,JE,covered,net_45,pending_approval,consulting,2025-08-08 21:25:19.475575
c68683fe-e5bb-43c3-a2d8-f6661091b59d,guess,via1985@gmail.com,+1-312-022-0212,Meadowbrook,Garfield Heights,Georgia,27133,GT,asian,net_45,inactive,consulting,2025-12-02 05:28:26.507774
58b98bb4-23f4-42b0-8dd9-a227a981edbf,gardening,driving1981@outlook.com,+1-941-760-6524,Jack Micheline,Washington,Arizona,75935,TF,within,due_on_receipt,inactive,marketing,2025-04-11 19:09:20.903332
30efa8fb-d6c8-4a5c-8c86-644fe84f565c,displayed,von1966@live.com,+1-626-884-0957,Mount,Palmdale,Illinois,70220,DZ,same,due_on_receipt,inactive,travel,2025-12-28 11:25:08.797615
0da5efc0-1dc3-4b32-9ef5-8bfa6d7342b0,insert,substantial2034@yahoo.com,+1-369-175-7453,Church,Kyle,Louisiana,48136,PR,holdem,net_60,inactive,travel,2025-09-18 03:20:15.489131
8fbb0416-84c8-47d7-aaff-9b2212369630,vincent,tales1846@yandex.com,+1-541-116-5354,Brussels,Pleasant Grove,South Dakota,17139,NL,year,net_45,active,software,2025-05-15 07:09:06.053063
3c5a35cd-5396-4ce2-af5b-b5aa4fa12cbf,meetings,viewing1858@live.com,+13311449825,White,Edina,Utah,37088,IN,purchased,net_30,inactive,software,2025-07-28 19:26:15.907340
98ea105d-507c-4f53-ac2d-945a5a76d762,china,synopsis1952@yandex.com,+19471319995,Jefferson,Berea,Indiana,95724,UA,emails,due_on_receipt,pending_approval,office_supplies,2025-06-30 18:46:20.199055
b23da68f-5899-4278-a7ab-4ddb641f44b6,wash,amended1985@example.com,+1-775-089-0407,San Benito,Clearfield,Kentucky,17574,MS,mood,net_30,active,other,2025-08-17 14:31:56.323528
729d428d-57f8-4452-8b5c-d219af21fa2f,mapping,crest2081@yandex.com,+1-369-569-9767,Parkhurst,Jupiter,Iowa,91478,CF,relief,net_60,inactive,other,2025-01-03 12:32:29.252422
50a38ba0-4772-410b-90b5-3c943acc4bf5,article,patrol2064@protonmail.com,+1-817-200-5507,Eaton,Valparaiso,Utah,40395,MK,movie,due_on_receipt,pending_approval,consulting,2025-10-12 01:03:18.518934
22bfad76-c3e6-4156-b98a-2b8c5bf32aa6,lawn,gray1816@duck.com,+1-413-524-5785,Amatury,San Juan,Washington,18773,GD,stated,net_45,active,office_supplies,2025-05-18 00:54:06.451860
