holding_id,account_id,security_id,institution_price,institution_price_date,institution_value,cost_basis,quantity,iso_currency_code
d2f97673-dfe2-4798-8d76-0a29c424ebf8,f9eeec4b-d931-4d3e-aa01-5b5c9d5f0c10,0b6cc217-6fc9-49f4-bfb8-24f94877a9be,1647.26,2001-02-08,209654.19,763188.69,9967.599,USD
36238144-c402-4969-9f8a-b6c03a583b40,2fea324f-6d71-4ea1-8432-f4dc2e9c6b3f,83da144e-2b13-4872-99ac-c5f31ed47229,1583.66,2023-03-13,971226.25,401476.09,1272.525,CAD
df717ca9-7cbc-4f61-b284-03f239af5d45,532d1790-fd06-4428-b8fd-9f386b7ea7a3,2cbf49f7-35a1-4fae-b064-676dd823b15b,3205.78,2011-04-15,368744.01,533857.56,2697.116,CAD
46251967-349c-4e54-8966-3d11f7e5292f,1c79e009-9176-4723-a5a7-fc654bd52353,3d549974-3eca-4647-a865-5df40bcf1e64,3060.21,2007-04-29,817027.58,656908.63,9674.87,USD
5db58163-fc00-4091-8095-6e944768c6dd,1f95e153-0414-4ba4-bd88-990b6a60607a,b5831acb-95d8-4d2c-91c6-a8b07231db82,914.87,2018-08-18,191503.88,194853.63,5551.605,CAD
bf02625a-a785-490f-8c70-04710622f73c,76224199-91d9-4a09-adda-a99ab2794df6,7d467e5b-e1d6-447b-8f7b-2103fb075ead,2965.81,2011-01-08,825477.13,511176.08,6936.645,AUD
b3a16ce6-f217-408e-a3e8-5d1245242d43,76646b6e-07de-4b12-a473-0b9b86e6ed52,7b32ff58-b9a5-4626-b35d-5db78e0212b1,4745.03,2014-06-06,736809.65,628581.25,8758.952,USD
b0418b28-f302-4964-83b9-b45cb20199fd,8f3dad18-f391-42cc-97c0-91175fff1a9c,e947017e-a447-448b-bb8d-7d4e816244b3,856.98,2007-04-12,517871.57,336063.26,9260.573,EUR
20fe3dda-d7fd-4e0c-b8c9-9d4d02a70565,491647ee-d80e-4de9-a366-ea6d82895487,197b79d6-e1f6-4db4-a422-296bab7e2bc6,2479.19,2011-11-09,45571.16,497074.32,6656.528,CAD
c8ee6f15-5dad-418f-a9e9-699960264997,fd4b6a8e-5437-4d50-b579-8ceb83864a26,c9634f6e-2045-4cbf-ab64-390fdcec5c9d,440.16,2019-10-22,686125.72,891730.06,8212.792,CAD
eaf612f1-f3af-4d4a-b38e-91739e00268f,f9eeec4b-d931-4d3e-aa01-5b5c9d5f0c10,53c315d8-1ffa-4b21-a1a9-a994f382da81,4041.48,2005-01-17,360712.21,788362.57,8224.442,USD
a5b28152-7748-404d-8e7b-44f15f58072d,80052419-1998-4c5d-b3eb-bf853ff93292,8b1e0535-486e-4e52-bf3b-6054983da40a,4560.35,2012-08-23,358128.54,280498.76,7012.319,GBP
f8d749c2-d2f4-4be2-9027-90965663b6c2,21b9f41e-aae7-414a-a5e9-9dc068e4b027,acb631e4-3eb6-4a84-bf99-3080e503d32c,2461.71,2010-01-04,482423.67,285274.24,9097.471,AUD
