transaction_id,account_id,amount,iso_currency_code,category_primary,category_detailed,date,datetime,authorized_date,name,merchant_name,address,city,region,postal_code,country,latitude,longitude,pending,account_owner,transaction_type,transaction_code
231461c5-b63f-452e-967c-1487ade16d4d,db8c501b-e15a-41de-b5bc-84162af92231,2614.74,CAD,Bank Fees,Rent,2010-07-01,2025-07-13 02:46:57.586716,2007-10-17,spears,increased,Collingwood,Ansonia,West Virginia,22768,BH,31.72222,-3.794859,False,berlin,special,cheque
698bd29d-e052-496c-922a-7974cd1e4e92,5c433140-6213-43c4-a4ff-883a38865eec,774.26,CAD,Transfer,Payroll,2005-11-13,2025-03-09 09:17:31.153023,2002-03-14,armed,palm,Pulaski,Arvada,Alaska,02657,PR,-41.630913,-30.878968,False,mouth,place,atm
e06c2341-2667-4b2c-9b7f-a888c447a37c,b26ed3d2-9a15-4398-a600-33f9a6fb07e4,-480.08,EUR,Travel,Healthcare,2008-07-10,2025-02-12 08:15:46.655395,2015-10-20,cultures,ultra,Waller,Lockport,Iowa,42871,JE,24.052997,136.845029,False,driver,digital,bank charge
1c626e83-86da-4f5f-aa40-07ba10e08a15,b8080110-cf8f-468e-8389-90e6eab55247,-4069.05,USD,Bank Fees,Shopping,2006-08-04,2025-05-01 12:21:53.650318,2012-06-15,agents,makes,Meadowbrook,Garfield Heights,Georgia,27133,GT,2.810425,-79.838752,True,income,unresolved,purchase
4224db5f-2a20-4890-b421-6587269b8a17,1f95e153-0414-4ba4-bd88-990b6a60607a,4363.36,CAD,Recreation,Shopping,2010-07-27,2025-05-11 19:44:12.502278,2010-03-31,place,becoming,Jack Micheline,Washington,Arizona,75935,TF,-23.567189,162.091468,True,letters,unresolved,cashback
680650f1-e4f5-429e-9001-0d28c4dce3b3,d4e56f34-5271-455f-822a-7c8300d30870,-1727.11,AUD,Food and Drink,Entertainment,2012-06-10,2025-10-26 07:20:24.293916,2025-07-12,constitute,everyday,Mount,Palmdale,Illinois,70220,DZ,-89.554845,98.688705,False,north,place,direct debit
a9b1b809-c480-4b16-a30c-56e95419a7be,2b90cf10-1d54-44da-b3dc-5147f9736cc4,2327.24,CAD,Shops,Payroll,2003-10-07,2025-11-25 17:01:46.484045,2022-04-15,us,times,Church,Kyle,Louisiana,48136,PR,41.567749,-14.958268,False,foods,unresolved,adjustment
53cff741-51cd-4903-abd0-8d1c57c7bf62,ea3cd2c5-21d7-4f4b-80d3-fd5ecf7fac43,1641.44,USD,Healthcare,Entertainment,2025-05-27,2025-07-22 15:08:40.317543,2007-05-22,char,statistica,Brussels,Pleasant Grove,South Dakota,17139,NL,-25.519909,-157.200953,True,fraud,special,adjustment
b72321c5-6b97-4e6e-adde-a0913ed18bdc,eec257f8-75ed-4b51-b3d7-c124f9f25e15,344.24,AUD,Transfer,Healthcare,2004-12-14,2025-02-15 19:30:37.420274,2017-09-30,ftp,earth,White,Edina,Utah,37088,IN,-50.790612,-25.328484,False,finished,place,standing order
9ce7bd9e-0eb0-45b6-bb52-020f504f2008,4b64e654-47fa-4558-8a6e-75b4702e44c2,-2881.49,GBP,Gas Stations,Utilities,2022-07-18,2025-06-23 17:38:40.958819,2002-02-25,whereas,suppliers,Jefferson,Berea,Indiana,95724,UA,-41.663369,118.203702,False,bed,digital,cheque
28179c65-9a7b-4f36-8498-f3bab01a6927,9b7c0916-00ef-4058-bb0a-40a29621170b,-1622.45,EUR,Entertainment,Online Transfer,2007-11-22,2025-03-21 19:02:36.676364,2021-11-13,random,inches,San Benito,Clearfield,Kentucky,17574,MS,14.028055,23.81116,False,written,unresolved,bank charge
771b35e9-eea0-4a5c-89d7-69f9a147b318,b8080110-cf8f-468e-8389-90e6eab55247,-146.62,AUD,Groceries,Fast Food,2024-06-26,2025-02-01 03:16:14.535482,2023-09-18,seniors,editions,Parkhurst,Jupiter,Iowa,91478,CF,-28.126868,65.718693,False,serial,digital,standing order
757f1d97-f7cc-4f84-a701-47df7cfba24c,c402fec9-f6b9-4c64-8c38-9a62a0b4a6aa,-4515.91,EUR,Gas Stations,Rent,2018-12-19,2025-08-12 12:29:49.712565,2018-12-17,way,holds,Eaton,Valparaiso,Utah,40395,MK,-72.076546,102.200314,False,texts,unresolved,bank charge
